French,English
partie,part
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
donner,give
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
côté,side
vieux,old
sois,be
tellement,so much
enfant,child
point,point
venez,come
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
cause,cause
enfin,finally
eau,water
parti,left
boulot,job
dirait,would say
loin,far
fin,end
gros,large
jouer,to play
